Typhoon Name,Year,Region,Province,City/Municipality,Families,Person,Brgy,Dead,Injured/Ill,Missing,Totally,Partially,Total,Quantity,Cost,Nearest_Station,Station_Province,Distance_km,PAR_START,PAR_END,Duration_in_PAR_Hours,Max_Sustained_Wind_kph,Typhoon_Type,Max_24hr_Rainfall_mm,Total_Storm_Rainfall_mm,Min_Pressure_hPa,Weather_Station_Mapped,Weather_Records_Found,Weather_Days_Covered
AGATON,2022,5,SORSOGON,JUBAN,0,0,0,0,0,0,0,0,0,0,0.0,JUBAN,SORSOGON,4.455329035,4/9/2022,4/12/2022,78.0,75,TS,138.0,199.6,1003.0,1,4,4
AGATON,2022,5,ALBAY,LEGAZPI CITY,0,0,0,0,0,0,0,0,0,0,0.0,LEGAZPI CITY,ALBAY,5.110872132,4/9/2022,4/12/2022,78.0,75,TS,84.2,172.4,1002.7,1,4,4
AGATON,2022,8,LEYTE,TACLOBAN CITY,1868,9139,13,0,0,0,0,0,0,0,0.0,TACLOBAN,LEYTE,6.127759298,4/9/2022,4/12/2022,78.0,75,TS,106.0,268.6,998.8,1,4,4
AMANG,2023,5,CAMARINES NORTE,DAET,2,8,1,0,0,0,0,0,0,0,0.0,DAET,CAMARINES NORTE,1.128639745,4/11/2023,4/13/2023,60.0,55,TD,140.0,154.61,1004.3,1,3,3
AMANG,2023,5,CAMARINES NORTE,TALISAY CITY,1,1,1,0,0,0,0,0,0,0,0.0,DAET,CAMARINES NORTE,3.753907,4/11/2023,4/13/2023,60.0,55,TD,140.0,154.61,1004.3,1,3,3
AMANG,2023,5,CAMARINES NORTE,MERCEDES,18,60,2,0,0,0,0,0,0,0,0.0,DAET,CAMARINES NORTE,8.858448504,4/11/2023,4/13/2023,60.0,55,TD,140.0,154.61,1004.3,1,3,3
AMBO,2020,5,CAMARINES NORTE,DAET,116,492,10,0,0,0,0,0,0,0,0.0,DAET,CAMARINES NORTE,1.128639745,5/10/2020,5/17/2020,198.0,155,TY,75.8,133.42,1004.7,1,8,8
AMBO,2020,3,AURORA,BALER,28,101,3,0,0,0,0,0,0,0,0.0,BALER,AURORA,3.066878411,5/10/2020,5/17/2020,198.0,155,TY,145.9,231.5,1004.8,1,8,8
AMBO,2020,5,CAMARINES NORTE,TALISAY CITY,42,168,4,0,0,0,0,0,0,0,0.0,DAET,CAMARINES NORTE,3.753907,5/10/2020,5/17/2020,198.0,155,TY,75.8,133.42,1004.7,1,8,8
BETTY,2023,2,BATANES,BASCO,3608,11120,6,0,0,0,0,0,0,3608,2646179.36,BASCO,BATANES,2.497503561,5/27/2023,6/1/2023,133.0,195,STY,25.6,39.0,977.1,1,6,6
BETTY,2023,3,AURORA,BALER,4,9,1,0,0,0,2,2,4,0,0.0,BALER,AURORA,3.066878411,5/27/2023,6/1/2023,133.0,195,STY,0.01,0.01,998.2,1,6,6
BETTY,2023,2,BATANES,ITBAYAT,968,3028,5,0,0,0,0,0,0,966,494592.0,ITBAYAT,BATANES,3.204942957,5/27/2023,6/1/2023,133.0,195,STY,20.3,32.71,1000.5,1,6,6
DANTE,2021,5,CAMARINES NORTE,DAET,0,0,0,0,0,0,0,0,0,0,0.0,DAET,CAMARINES NORTE,1.128639745,5/30/2021,6/5/2021,154.0,75,TS,22.1,23.1,1004.7,1,7,7
DANTE,2021,5,CAMARINES NORTE,TALISAY CITY,0,0,0,0,0,0,0,0,0,0,0.0,DAET,CAMARINES NORTE,3.753907,5/30/2021,6/5/2021,154.0,75,TS,22.1,23.1,1004.7,1,7,7
DANTE,2021,5,SORSOGON,JUBAN,102,342,6,0,0,0,0,0,0,0,0.0,JUBAN,SORSOGON,4.455329035,5/30/2021,6/5/2021,154.0,75,TS,38.8,40.6,1003.5,1,7,7
DODONG,2023,3,BATAAN,MORONG,4,11,1,0,0,0,0,0,0,0,0.0,SUBIC BAY,ZAMBALES,1.186245184,7/13/2023,7/15/2023,47.0,65,TS,124.5,273.9,1001.2,1,3,3
DODONG,2023,3,ZAMBALES,IBA,128,566,7,0,0,0,0,0,0,86,53830.92,IBA,ZAMBALES,9.748532873,7/13/2023,7/15/2023,47.0,65,TS,222.9,594.3,1000.4,1,3,3
DODONG,2023,3,ZAMBALES,SUBIC,38,148,2,0,0,0,0,0,0,0,0.0,SUBIC BAY,ZAMBALES,11.28006959,7/13/2023,7/15/2023,47.0,65,TS,124.5,273.9,1001.2,1,3,3
ESTER,2022,5,MASBATE,MOBO,495,2567,4,0,0,0,3,25,28,0,0.0,MASBATE,MASBATE,11.29564539,7/29/2022,7/31/2022,39.0,45,TD,10.0,17.41,1005.5,1,3,3
FABIAN,2021,3,ZAMBALES,SUBIC,97,385,6,0,0,0,0,0,0,0,0.0,SUBIC BAY,ZAMBALES,11.28006959,7/16/2021,7/23/2021,188.0,150,TY,152.0,634.7,1001.2,1,8,8
FABIAN,2021,3,ZAMBALES,PALAUIG,11,40,2,0,0,0,0,0,0,0,0.0,IBA,ZAMBALES,15.65438684,7/16/2021,7/23/2021,188.0,150,TY,213.6,770.5,1001.3,1,8,8
FABIAN,2021,3,ZAMBALES,CASTILLEJOS,18,58,1,0,0,0,0,0,0,0,7200.0,SUBIC BAY,ZAMBALES,17.41924246,7/16/2021,7/23/2021,188.0,150,TY,152.0,634.7,1001.2,1,8,8
FLORITA,2022,2,CAGAYAN,APARRI,102,355,10,0,0,0,0,0,0,0,0.0,APARRI,CAGAYAN,0.131954557,8/21/2022,8/24/2022,74.0,110,STS,50.4,99.31,991.1,1,4,4
FLORITA,2022,2,CAGAYAN,TUGUEGARAO CITY,622,2250,17,0,1,0,0,6,6,500,256000.0,TUGUEGARAO,CAGAYAN,3.617549461,8/21/2022,8/24/2022,74.0,110,STS,146.0,234.5,989.1,1,4,4
