region_,person_sum,dead_sum,injured_ill_sum,missing_sum,totally_sum,partially_sum,cost_sum,has_food_sum,has_cash_sum,has_hygiene_health_sum,has_sleeping_essentials_sum,has_shelter_support_sum,num_typhoons,recurrence_rate,cost_per_family
CAR,665436.0,2.0,115.0,0.0,58.0,888.0,29463089.14,61,46,8,4,4,29,5.8,154.25701120418847
13,1651.0,0.0,0.0,0.0,4.0,6.0,280324.0,0,0,0,0,0,2,2.0,737.6947368421053
CARAGA,187974.0,0.0,0.0,0.0,2872.0,9370.0,20049094.82,1,0,0,0,0,7,1.4,448.8770809358558
CARAGA,221391.0,0.0,0.0,0.0,167.0,707.0,6707484.86,3,0,0,0,0,5,1.25,120.37408671619828
6,637351.0,8.0,2.0,1.0,273.0,9530.0,66326300.0,51,35,1,3,0,22,4.4,388.05010472613236
5,2402839.0,6.0,7.0,0.0,19277.0,105509.0,153159662.39,52,2,5,6,8,25,4.166666666666667,246.73125853194898
6,905657.0,16.0,0.0,6.0,3657.0,27281.0,129842238.65,99,74,10,19,2,26,4.333333333333333,529.6202848332321
CAR,180378.0,0.0,3.0,0.0,63.0,4940.0,14887503.98,46,27,10,4,1,24,4.0,301.59847615574733
3,350627.0,3.0,29.0,0.0,882.0,6551.0,52230612.92,19,1,2,1,3,28,4.666666666666667,510.0595982461109
BARMM,6568.0,0.0,0.0,0.0,34.0,147.0,0.0,0,0,0,0,0,10,2.5,0.0
3,2550429.0,0.0,5.0,0.0,61.0,123.0,33387179.33,10,3,1,0,0,25,4.166666666666667,51.29284455833575
2,109887.0,0.0,27.0,0.0,266.0,2608.0,25747146.79,20,4,0,1,0,21,4.2,719.6161656278822
4A,742760.0,7.0,5.0,1.0,6665.0,56952.0,93710674.17,12,4,0,0,0,21,3.5,471.4955027873933
CAR,315666.0,10.0,61.0,4.0,155.0,1085.0,34881390.54,46,32,19,11,0,28,4.666666666666667,420.60737890535506
8,83234.0,0.0,10.0,0.0,83.0,1788.0,3395283.12,8,0,0,0,0,13,2.6,156.2342683600221
7,1432311.0,90.0,94.0,15.0,93635.0,206502.0,158069946.0,52,1,0,0,0,10,2.0,362.5440846601621
10,37403.0,3.0,6.0,0.0,80.0,120.0,547650.0,1,1,4,4,2,10,2.0,52.704263304782984
3,6318463.0,8.0,17.0,0.0,48.0,335.0,170916144.16,35,2,2,0,0,31,5.166666666666667,94.0314869325634
CARAGA,47267.0,0.0,0.0,0.0,29.0,29.0,3532435.0,2,0,0,0,0,5,1.6666666666666667,288.97537630890054
2,1394519.0,7.0,3.0,1.0,2382.0,42362.0,206898335.28,167,22,46,33,28,31,5.166666666666667,501.4039794686868
5,946202.0,2.0,12.0,0.0,2229.0,17096.0,61766701.9,43,4,0,1,0,25,4.166666666666667,280.12744914850674
5,4072811.0,1.0,0.0,0.0,14222.0,61601.0,172591165.55,80,11,2,5,3,25,4.166666666666667,176.57595512940532
